Width,Complexity,Fifo,Multiplier
3,1,4,1
3,1,1,1
3,1,2,100
4,0,4,20
4,0,1,20
4,0,2,20
4,0,3,20
4,0,4,5
4,0,1,5
4,0,2,5
4,0,3,5
4,0,4,50
4,0,1,50
3,1,3,100
4,0,2,50
4,0,3,50
5,1,4,1
5,1,1,1
5,1,2,1
5,1,3,1
5,1,4,10
5,1,1,10
5,1,2,10
5,1,3,10
3,1,4,2
5,1,4,100
5,1,1,100
5,1,2,100
5,1,3,100
5,1,4,2
5,1,1,2
5,1,2,2
5,1,3,2
5,1,4,20
5,1,1,20
3,1,1,2
5,1,2,20
5,1,3,20
5,1,4,5
5,1,1,5
5,1,2,5
5,1,3,5
5,1,4,50
5,1,1,50
5,1,2,50
5,1,3,50
3,1,2,2
5,0,4,1
5,0,1,1
5,0,2,1
5,0,3,1
5,0,4,10
5,0,1,10
5,0,2,10
5,0,3,10
5,0,4,100
5,0,1,100
3,1,3,2
5,0,2,100
5,0,3,100
5,0,4,2
5,0,1,2
5,0,2,2
5,0,3,2
5,0,4,20
5,0,1,20
5,0,2,20
5,0,3,20
3,1,4,20
5,0,4,5
5,0,1,5
5,0,2,5
5,0,3,5
5,0,4,50
5,0,1,50
5,0,2,50
5,0,3,50
6,1,4,1
6,1,1,1
3,1,1,20
6,1,2,1
6,1,3,1
6,1,4,10
6,1,1,10
6,1,2,10
6,1,3,10
6,1,4,100
6,1,1,100
6,1,2,100
6,1,3,100
3,1,2,20
6,1,4,2
6,1,1,2
6,1,2,2
6,1,3,2
6,1,4,20
6,1,1,20
6,1,2,20
6,1,3,20
6,1,4,5
6,1,1,5
3,1,3,20
6,1,2,5
6,1,3,5
6,1,4,50
6,1,1,50
6,1,2,50
6,1,3,50
6,0,4,1
6,0,1,1
6,0,2,1
6,0,3,1
3,1,2,1
3,1,4,5
6,0,4,10
6,0,1,10
6,0,2,10
6,0,3,10
6,0,4,100
6,0,1,100
6,0,2,100
6,0,3,100
6,0,4,2
6,0,1,2
3,1,1,5
6,0,2,2
6,0,3,2
6,0,4,20
6,0,1,20
6,0,2,20
6,0,3,20
6,0,4,5
6,0,1,5
6,0,2,5
6,0,3,5
3,1,2,5
6,0,4,50
6,0,1,50
6,0,2,50
6,0,3,50
7,1,1,1
7,1,2,1
7,1,3,1
7,1,1,10
3,1,3,5
7,1,2,10
7,1,3,10
7,1,1,100
7,1,2,100
7,1,3,100
7,1,1,2
7,1,2,2
7,1,3,2
3,1,4,50
7,1,1,20
7,1,2,20
7,1,3,20
7,1,1,5
7,1,2,5
7,1,3,5
7,1,1,50
3,1,1,50
7,1,2,50
7,1,3,50
7,0,1,1
7,0,2,1
7,0,1,10
7,0,2,10
3,1,2,50
7,0,1,100
7,0,2,100
7,0,1,2
7,0,2,2
7,0,1,20
3,1,3,50
7,0,2,20
7,0,1,5
7,0,2,5
7,0,1,50
7,0,2,50
3,0,4,1
3,0,1,1
3,1,3,1
3,0,2,1
3,0,3,1
3,0,4,10
3,0,1,10
3,0,2,10
3,0,3,10
3,0,4,100
3,0,1,100
3,0,2,100
3,0,3,100
3,1,4,10
3,0,4,2
3,0,1,2
3,0,2,2
3,0,3,2
3,0,4,20
3,0,1,20
3,0,2,20
3,0,3,20
3,0,4,5
3,0,1,5
3,1,1,10
3,0,2,5
3,0,3,5
3,0,4,50
3,0,1,50
3,0,2,50
3,0,3,50
4,1,4,1
4,1,1,1
4,1,2,1
4,1,3,1
3,1,2,10
4,1,4,10
4,1,1,10
4,1,2,10
4,1,3,10
4,1,4,100
4,1,1,100
4,1,2,100
4,1,3,100
4,1,4,2
4,1,1,2
3,1,3,10
4,1,2,2
4,1,3,2
4,1,4,20
4,1,1,20
4,1,2,20
4,1,3,20
4,1,4,5
4,1,1,5
4,1,2,5
4,1,3,5
3,1,4,100
4,1,4,50
4,1,1,50
4,1,2,50
4,1,3,50
4,0,4,1
4,0,1,1
4,0,2,1
4,0,3,1
4,0,4,10
4,0,1,10
3,1,1,100
4,0,2,10
4,0,3,10
4,0,4,100
4,0,1,100
4,0,2,100
4,0,3,100
4,0,4,2
4,0,1,2
4,0,2,2
4,0,3,2
