Throughput+,Latency-
4123.9,2.5786
4098.6,2.5385
4176.9,2.5477
4059.4,2.5699
4032.0,2.6341
3983.3,2.585
4100.2,2.6116
4097.1,2.6345
4213.6,2.4483
4123.2,2.4584
4212.6,2.4867
4224.6,2.4514
4192.9,2.5676
4229.9,2.4561
4869.9,2.2345
4742.8,2.2434
4745.9,2.274
4646.2,2.2873
4589.6,2.2376
4684.3,2.263
4593.9,2.2561
4849.6,2.3172
4850.4,2.1844
4716.8,2.1994
4568.4,2.2659
4638.4,2.2965
4642.1,2.2694
4702.3,2.2763
7494.8,15.267
12690.0,9.0425
13341.0,8.4104
12787.0,8.5116
13208.0,8.4711
13048.0,8.2902
13618.0,8.6734
6876.2,16.932
13898.0,7.9557
17445.0,6.2931
18656.0,5.6942
19215.0,5.9139
18564.0,5.822
18872.0,5.704
7221.4,19.849
14028.0,8.641
16094.0,6.7821
16038.0,6.8006
15038.0,7.0763
15777.0,6.9694
16158.0,6.515
7599.1,13.874
16448.0,6.6913
17588.0,5.4324
18337.0,5.274
17812.0,5.8555
18604.0,5.2717
17697.0,5.2977
8600.1,142.45
17561.0,66.278
17933.0,62.246
19721.0,62.512
20382.0,57.635
17886.0,62.345
21201.0,51.009
7677.3,137.63
18789.0,60.38
21809.0,52.464
24019.0,46.646
26077.0,39.596
28395.0,36.861
28405.0,38.097
7864.7,131.92
17860.0,61.224
20076.0,55.609
21596.0,51.502
20701.0,58.286
20075.0,57.099
19610.0,59.478
8636.8,123.03
19318.0,47.348
21305.0,46.838
22039.0,41.581
23470.0,35.825
21993.0,42.093
23940.0,35.91
9036.2,1310.1
20665.0,547.77
22127.0,540.98
20011.0,551.17
22722.0,494.29
20768.0,560.98
23878.0,465.92
7755.1,1269.1
22093.0,522.18
28725.0,399.13
29274.0,357.24
33903.0,348.49
35508.0,330.13
34045.0,334.44
8044.5,1305.9
18655.0,579.29
20312.0,555.68
20589.0,537.34
20562.0,523.63
19776.0,602.72
21098.0,501.84
9131.9,1299.1
21467.0,512.14
25035.0,343.85
24362.0,345.38
23951.0,419.31
24693.0,277.74
23876.0,372.5
8808.6,12596.0
16015.0,6876.6
18745.0,5990.6
18112.0,6255.3
19184.0,5861.8
19210.0,6260.9
19317.0,5709.0
6913.8,14710.0
23990.0,4735.0
27670.0,3923.0
30740.0,3751.1
31890.0,3379.6
27830.0,3523.8
30901.0,3380.6
8160.0,13166.0
18253.0,1943.9
16018.0,2153.4
19366.0,1781.6
18735.0,1760.2
18857.0,1717.1
19010.0,1792.1
8058.1,11121.0
19316.0,2194.6
26972.0,1266.6
25614.0,1220.9
26973.0,856.94
25023.0,809.05
25694.0,828.89
7445.7,74603.0
17260.0,57080.0
18566.0,51016.0
18336.0,49528.0
17814.0,49666.0
21013.0,45807.0
20186.0,46405.0
6209.4,83712.0
23864.0,37378.0
26935.0,36587.0
29027.0,34206.0
29893.0,34751.0
29311.0,33300.0
32366.0,28518.0
9988.9,64176.0
18159.0,1781.5
17406.0,2010.2
21496.0,1595.8
19027.0,1568.1
19488.0,1556.2
17900.0,1829.9
7625.9,61107.0
19790.0,2276.2
24924.0,869.0
25620.0,1057.5
25490.0,953.19
26714.0,985.57
27324.0,865.83
48918.0,93904.0
43144.0,77076.0
32533.0,79764.0
35978.0,85576.0
38675.0,84330.0
39811.0,83368.0
46272.0,83169.0
35943.0,70293.0
41319.0,90593.0
52611.0,82576.0
61403.0,52488.0
60713.0,73693.0
63734.0,71418.0
63113.0,76115.0
46742.0,78749.0
17810.0,2023.7
18378.0,1747.9
19653.0,1953.2
19028.0,1818.2
20226.0,1784.3
20100.0,1692.8
36125.0,46551.0
20157.0,1979.7
24009.0,1028.0
25312.0,911.97
26336.0,855.8
25389.0,812.2
26278.0,1019.7
